class,accuracy
otter,0.1700
seal,0.1700
squirrel,0.1800
mouse,0.2500
rabbit,0.2800
boy,0.3000
girl,0.3000
lizard,0.3300
bear,0.3600
lobster,0.3700
man,0.3700
ray,0.3800
tulip,0.3900
beaver,0.4100
pine_tree,0.4100
turtle,0.4100
woman,0.4200
baby,0.4300
couch,0.4300
possum,0.4300
sweet_pepper,0.4300
bowl,0.4400
butterfly,0.4400
kangaroo,0.4400
shrew,0.4500
crocodile,0.4600
forest,0.4800
bus,0.4900
caterpillar,0.5000
snake,0.5000
maple_tree,0.5100
shark,0.5100
willow_tree,0.5100
cattle,0.5200
clock,0.5200
dolphin,0.5200
table,0.5200
lamp,0.5300
mushroom,0.5300
leopard,0.5400
snail,0.5400
worm,0.5400
porcupine,0.5500
rose,0.5500
beetle,0.5600
crab,0.5600
telephone,0.5600
bridge,0.5800
train,0.5800
elephant,0.6000
poppy,0.6000
flatfish,0.6100
tiger,0.6100
whale,0.6100
bed,0.6200
house,0.6200
camel,0.6300
can,0.6300
dinosaur,0.6400
pear,0.6500
plate,0.6500
raccoon,0.6600
spider,0.6700
wolf,0.6700
fox,0.6800
trout,0.6900
sea,0.7100
rocket,0.7200
lion,0.7300
orchid,0.7300
streetcar,0.7300
television,0.7400
lawn_mower,0.7600
bottle,0.7700
cloud,0.7700
skyscraper,0.7700
castle,0.7800
cockroach,0.7800
cup,0.7800
pickup_truck,0.7800
tank,0.7800
bicycle,0.7900
hamster,0.7900
keyboard,0.7900
tractor,0.7900
mountain,0.8100
aquarium_fish,0.8300
apple,0.8400
bee,0.8400
chair,0.8400
skunk,0.8400
chimpanzee,0.8500
sunflower,0.8500
orange,0.8600
plain,0.8600
oak_tree,0.8700
palm_tree,0.8900
wardrobe,0.9100
motorcycle,0.9200
road,0.9400
